,infuse_oa_lyr_2011,new_labels
1444,E00001488,0
1445,E00001489,2
1446,E00001490,0
1447,E00001491,2
1448,E00001492,0
1449,E00001493,2
1450,E00001494,0
1451,E00001495,0
1452,E00001496,0
1453,E00001497,0
1454,E00001498,2
1455,E00001499,2
1456,E00001500,0
1457,E00001501,0
1458,E00001502,2
1459,E00001503,1
1460,E00001504,1
1461,E00001505,4
1462,E00001506,3
1463,E00001507,1
1464,E00001508,0
1465,E00001509,0
1466,E00001510,0
1467,E00001511,0
1468,E00001512,2
1469,E00001513,3
1470,E00001514,4
1471,E00001515,3
1472,E00001516,4
1473,E00001517,0
1474,E00001518,2
1475,E00001519,3
1476,E00001520,0
1477,E00001521,3
1478,E00001522,3
1479,E00001523,3
1480,E00001524,3
1481,E00001525,3
1482,E00001526,4
1483,E00001527,1
1484,E00001528,2
1485,E00001529,0
1486,E00001530,3
