,index,Agriculture,Green space and recreational land,High density residential with retail and commercial sites,Industrial areas,Large complex buildings various use (travel/recreation/ retail),Low density residential with amenities (suburbs and small villages / hamlets),Medium density residential with high streets and amenities,Principle Transport,Urban centres - mainly commercial/retail with residential pockets,Water,new_labels_0,new_labels_1,new_labels_2,new_labels_3,new_labels_4,new_labels_5,new_labels_6,new_labels_7,new_labels_8,supergroup
172,E00017727,0.0,168.56,26958.93,2971.75,0.0,0.0,0.0,6379.64,5939.76,0.0,1,3,3,3,3,1,0,0,1,3
173,E00000994,0.0,28339.3,0.0,0.0,0.0,20524.68,0.0,4850.29,0.0,0.0,1,1,1,3,4,1,0,4,1,2
174,E00009036,0.0,0.0,29010.92,5.25,0.0,1372.98,0.0,7427.73,0.0,0.0,0,3,0,0,0,4,0,3,1,3
175,E00005474,0.0,360.61,4235.87,0.0,0.0,8244.06,34760.03,10528.91,0.0,0.0,1,6,2,0,0,1,0,0,0,3
176,E00007031,23047.91,16933.649999999998,0.0,0.0,67868.62,60625.06,0.0,44706.1,3200.0,1735.51,1,0,3,0,3,4,0,0,0,5
177,E00023883,0.0,0.0,20.11,0.0,0.0,80.1,0.0,10965.64,4263.14,111.41,0,1,4,0,0,1,0,0,0,3
178,E00011378,0.0,0.0,0.0,0.0,0.0,11215.27,15463.14,0.0,0.0,0.0,4,3,4,4,0,4,0,2,2,7
179,E00008172,0.0,0.0,15267.6,0.0,0.0,0.0,0.0,8233.64,0.0,0.0,3,1,2,1,4,1,0,2,1,2
180,E00013381,0.0,4097.81,23909.17,0.0,0.0,7919.1,0.0,0.0,132.67000000000002,0.0,1,0,2,0,3,1,0,0,1,3
181,E00000649,0.0,45.56,0.0,0.0,0.0,6262.6,9166.79,1605.9,0.0,0.0,1,4,2,4,4,1,2,1,2,3
182,E00016661,0.0,0.0,13326.59,25.02,0.0,0.0,0.0,0.0,6902.09,0.0,2,4,2,1,3,4,2,1,3,3
